"Time";"BNL-ATLAS";"CERN-PROD";"CYFRONET-LCG2";"FZK-LCG2";"HK-LCG2";"IN2P3-CC";"INFN-T1";"MWT2";"NDGF-T1";"RAL-LCG2";"SARA-MATRIX";"TOKYO-LCG2";"TRIUMF-LCG2";"UKI-LT2-QMUL";"pic"
"2020-02-26T00:00:00+00:00";220272761.49333334;0;0;0;0;859257872.8655555;665606124.5655556;0;215657328.58333334;232414540.06333333;366978172.51555556;0;0;0;0
"2020-02-26T01:00:00+00:00";42565043.741111115;0;0;0;0;922756315.9555556;538394242.2577778;0;204409812.25333333;273648062.5411111;325328571.7177778;0;0;0;0
"2020-02-26T02:00:00+00:00";0;0;0;0;0;371561054.7455556;524765103.9166667;0;188208238.30666667;35845930.20111111;239480195.02222222;0;0;0;0
"2020-02-26T03:00:00+00:00";0;0;0;0;0;1266900.5577777778;776086505.3777778;0;192541134.18666667;171352182.44333333;237320360.04;0;0;0;0
"2020-02-26T04:00:00+00:00";149311.76333333334;0;0;0;0;0;813554448.2277777;0;174885760.37444445;153276050.74333334;310175244.9011111;0;0;0;0
"2020-02-26T05:00:00+00:00";0;0;0;0;0;0;821027680.8922222;0;175546187.4788889;72741855.35111111;306457664.7322222;0;0;0;0
"2020-02-26T06:00:00+00:00";2625699.598888889;0;0;0;0;0;444050773.4255555;0;171317349.01777777;284137019.9122222;412295101.8;0;0;0;0
"2020-02-26T07:00:00+00:00";728188.05;0;0;0;0;0;556854733.9022223;0;192780922.82222223;108983606.75888889;333301032.3055556;0;0;0;0
"2020-02-26T08:00:00+00:00";0;0;0;0;0;2262179870.99;658928435.7477778;0;185279743.81777778;283944483.89111114;400575671.7222222;0;0;0;0
"2020-02-26T09:00:00+00:00";0;0;0;0;0;2534137531.92;709702369.3233334;0;171429941.23222223;107672598.38666667;383364686.7088889;0;0;0;0
"2020-02-26T10:00:00+00:00";0;222600341.65444446;0;114282985.08555555;0;1943378248.4855556;635485859.6422222;0;194886894.00333333;238054044.0388889;343758442.04;0;0;0;0
"2020-02-26T11:00:00+00:00";0;2825785309.617778;0;1511969197.8244445;0;1241528020.2633333;483381876.97555554;0;180802908.28666666;265522109.38111112;408721368.62222224;0;0;0;0
"2020-02-26T12:00:00+00:00";0;1490049053.2144444;0;1599771174.6133332;0;1023930629.7711111;404754234.33;0;192202347.3888889;293664908.46444446;328990644.4822222;0;0;0;0
"2020-02-26T13:00:00+00:00";0;2221170633.592222;0;1440221967.3144445;0;701054061.69;865823316.3144444;0;200675507.46444446;20208789.514444444;344350904.07666665;0;0;0;0
"2020-02-26T14:00:00+00:00";0;4053131237.4522223;0;1640889744.1233332;0;532724441.82666665;948577209.1988889;0;186602284.7388889;161384413.4888889;356395912.38;0;0;0;0
"2020-02-26T15:00:00+00:00";0;4322836419.388889;0;449369643.9611111;0;724266237.9944445;1180522585.6844444;0;179764401.66222224;40944147.413333334;387637017.64666665;0;0;0;0
"2020-02-26T16:00:00+00:00";0;5007218833.567778;0;461541542.49;0;862570327.6066667;1232699644.12;0;219271787.86888888;67016942.932222225;345067861.98333335;0;0;0;0
"2020-02-26T17:00:00+00:00";0;5149013952.046667;0;480403793.4766667;0;779912826.9144444;1144457714.1655555;0;204374208.07333332;12264406.662222221;482724988.64;0;0;0;0
