"Time";"BNL-ATLAS";"CERN-PROD";"CYFRONET-LCG2";"FZK-LCG2";"HK-LCG2";"IN2P3-CC";"INFN-T1";"MWT2";"NDGF-T1";"RAL-LCG2";"SARA-MATRIX";"TOKYO-LCG2";"TRIUMF-LCG2";"UKI-LT2-QMUL";"pic"
"2020-02-26T00:00:00+00:00";792981941376;0;0;0;0;3093328342316;2396182048436;0;776366382900;836692344228;1321121421056;0;0;0;0
"2020-02-26T01:00:00+00:00";153234157468;0;0;0;0;3321922737440;1938219272128;0;735875324112;985133025148;1171182858184;0;0;0;0
"2020-02-26T02:00:00+00:00";0;0;0;0;0;1337619797084;1889154374100;0;677549657904;129045348724;862128702080;0;0;0;0
"2020-02-26T03:00:00+00:00";0;0;0;0;0;4560842008;2793911419360;0;693148083072;616867856796;854353296144;0;0;0;0
"2020-02-26T04:00:00+00:00";537522348;0;0;0;0;0;2928796013620;0;629588737348;551793782676;1116630881644;0;0;0;0
"2020-02-26T05:00:00+00:00";0;0;0;0;0;0;2955699651212;0;631966274924;261870679264;1103247593036;0;0;0;0
"2020-02-26T06:00:00+00:00";9452518556;0;0;0;0;0;1598582784332;0;616742456464;1022893271684;1484262366480;0;0;0;0
"2020-02-26T07:00:00+00:00";2621476980;0;0;0;0;0;2004677042048;0;694011322160;392340984332;1199883716300;0;0;0;0
"2020-02-26T08:00:00+00:00";0;0;0;0;0;8143847535564;2372142368692;0;667007077744;1022200142008;1442072418200;0;0;0;0
"2020-02-26T09:00:00+00:00";0;0;0;0;0;9122895114912;2554928529564;0;617147788436;387621354192;1380112872152;0;0;0;0
"2020-02-26T10:00:00+00:00";0;801361229956;0;411418746308;0;6996161694548;2287749094712;0;701592818412;856994558540;1237530391344;0;0;0;0
"2020-02-26T11:00:00+00:00";0;10172827114624;0;5443089112168;0;4469500872948;1740174757112;0;650890469832;955879593772;1471396927040;0;0;0;0
"2020-02-26T12:00:00+00:00";0;5364176591572;0;5759176228608;0;3686150267176;1457115243588;0;691928450600;1057193670472;1184366320136;0;0;0;0
"2020-02-26T13:00:00+00:00";0;7996214280932;0;5184799082332;0;2523794622084;3116963938732;0;722431826872;72751642252;1239663254676;0;0;0;0
"2020-02-26T14:00:00+00:00";0;14591272454828;0;5907203078844;0;1917807990576;3414877953116;0;671768225060;580983888560;1283025284568;0;0;0;0
"2020-02-26T15:00:00+00:00";0;15562211109800;0;1617730718260;0;2607358456780;4249881308464;0;647151845984;147398930688;1395493263528;0;0;0;0
"2020-02-26T16:00:00+00:00";0;18025987800844;0;1661549552964;0;3105253179384;4437718718832;0;789378436328;241260994556;1242244303140;0;0;0;0
"2020-02-26T17:00:00+00:00";0;18536450227368;0;1729453656516;0;2807686176892;4120047770996;0;735747149064;44151863984;1737809959104;0;0;0;0
"2020-02-26T18:00:00+00:00";0;17547517730388;0;1764271670732;0;2363913273764;2717275281056;0;601665116616;1664671490336;1297272220336;0;0;0;0
"2020-02-26T19:00:00+00:00";0;16469017034676;0;1815460122484;0;2112629759420;2319823001976;0;670301541772;755327342936;1307791124788;0;0;0;0
"2020-02-26T20:00:00+00:00";0;15902176126292;0;1641408633228;0;1940227904752;2565187411368;0;651338032632;539534211256;1296384494904;0;0;0;0
"2020-02-26T21:00:00+00:00";0;16623149030792;0;1447706027900;0;2734767107552;3397713416664;0;583144320560;1162609932104;1573836118940;0;0;0;0
"2020-02-26T22:00:00+00:00";5241805216;16874828377228;0;5411666497316;0;1985697939508;2940766820876;0;602156670212;301460267764;947966462464;0;0;0;0
"2020-02-26T23:00:00+00:00";0;17391559475428;0;10159680610816;0;62814999208;2620695610716;0;479773651680;1639594321872;1242080495396;0;0;0;0
"2020-02-27T00:00:00+00:00";15409495484;17295433151428;0;5746100000140;0;0;2104168499300;0;534699000612;463257108472;1323035033284;0;0;0;0
"2020-02-27T01:00:00+00:00";0;9537867233148;0;551819874996;0;0;3772180729600;0;731195484948;1318429490896;1220587990384;0;0;0;0
"2020-02-27T02:00:00+00:00";0;6277195661288;0;742356255600;0;0;3622021424796;0;624254861224;1755730786916;1379271066660;0;0;0;0
"2020-02-27T03:00:00+00:00";0;6344528042052;0;279638303296;0;0;3090129981148;0;542025428060;382988403684;1136596165852;0;0;0;0
"2020-02-27T04:00:00+00:00";0;6441513734272;0;0;0;0;3162259250340;0;612617261056;258296321484;1359003052000;0;0;0;0
"2020-02-27T05:00:00+00:00";0;6492832468908;0;0;0;0;2927004966396;0;610720736764;6812301200;1472752697240;0;0;0;0
"2020-02-27T06:00:00+00:00";1683487808;6715352070996;0;0;0;0;4741735507420;0;540003113260;8644812204;1613500124880;0;0;0;0
"2020-02-27T07:00:00+00:00";0;6743309116888;0;0;0;0;3547652391024;0;603238508028;2338363798308;1250050071928;0;0;0;0
"2020-02-27T08:00:00+00:00";2621145588;2158995731108;0;0;0;0;6279039545296;0;583571179864;741088948200;1577175805472;0;0;0;0
"2020-02-27T09:00:00+00:00";0;1078756670304;0;0;0;0;5223105562388;0;580918277652;13106436892;1420163697540;0;0;0;0
"2020-02-27T10:00:00+00:00";0;136778609912;0;2658701534384;0;0;3632275357044;0;598314731364;738182540;1496602620908;0;0;0;0
"2020-02-27T11:00:00+00:00";0;0;0;1161963756592;0;0;3856690338872;0;646192497792;7865420728;1326163410152;0;0;0;0
"2020-02-27T12:00:00+00:00";0;0;0;3145288282004;0;0;3320170098460;0;549184444480;1756400132;1003322363420;0;0;0;0
"2020-02-27T13:00:00+00:00";0;0;0;1943615569124;0;0;2821364668116;0;541840819176;9158962600;271920498992;0;0;0;0
"2020-02-27T14:00:00+00:00";0;0;0;1659440396;0;0;3403479185940;0;508347005748;7863919448;43995915136;0;0;0;0
"2020-02-27T15:00:00+00:00";5242122088;79432080888;0;5176556604;0;0;4387936928312;0;376457449240;5243194732;2621916516;0;0;0;0
