"Time";"tpsrv010.cern.ch";"tpsrv011.cern.ch";"tpsrv012.cern.ch";"tpsrv013.cern.ch";"tpsrv103.cern.ch";"tpsrv104.cern.ch";"tpsrv108.cern.ch";"tpsrv109.cern.ch";"tpsrv112.cern.ch";"tpsrv113.cern.ch";"tpsrv114.cern.ch";"tpsrv115.cern.ch";"tpsrv116.cern.ch";"tpsrv117.cern.ch";"tpsrv118.cern.ch";"tpsrv119.cern.ch";"tpsrv210.cern.ch";"tpsrv211.cern.ch";"tpsrv213.cern.ch";"tpsrv221.cern.ch";"tpsrv222.cern.ch";"tpsrv223.cern.ch";"tpsrv224.cern.ch";"tpsrv410.cern.ch"
"2019-08-08T16:00:00";;;;;;;;0;;;;;;;;;;;;;;;;
"2019-08-08T16:30:00";;;;;;;;0;0.24333333333333335;;;;;0.24333333333333335;;;;;;;;;;
"2019-08-08T17:00:00";;;;;;;;0;0;;;;;0;;;;;;;;;;
"2019-08-08T17:30:00";;;;;;;;0.01;0.01;;;;;0.01;;;;;;;;;;
"2019-08-08T18:00:00";;;;;;;;;;;;;;;;;;0.25333333333333335;;;;;;
"2019-08-08T18:30:00";;;;;;;;;;;;;;;;;;0.25333333333333335;;;;;;
"2019-08-08T19:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T19:30:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T20:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T20:30:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T21:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T21:30:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T22:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T22:30:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T23:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-08T23:30:00";0;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-09T00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;
