"Series";"Time";"Value"
"tpsrv010.cern.ch";"2019-08-08T16:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T16:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T17:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T17:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T18:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T18:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T19:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T19:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T20:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T20:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T21:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T21:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T22:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T22:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T23:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-08T23:30:00+02:00";0
"tpsrv010.cern.ch";"2019-08-09T00:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T00:30:00+02:00";31376504.47111111
"tpsrv010.cern.ch";"2019-08-09T01:00:00+02:00";10458834.897777777
"tpsrv010.cern.ch";"2019-08-09T01:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T02:00:00+02:00";7823980.812222222
"tpsrv010.cern.ch";"2019-08-09T02:30:00+02:00";48833551.72666667
"tpsrv010.cern.ch";"2019-08-09T03:00:00+02:00";63989764.156666666
"tpsrv010.cern.ch";"2019-08-09T03:30:00+02:00";17053462.63777778
"tpsrv010.cern.ch";"2019-08-09T04:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T04:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T05:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T05:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T06:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T06:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T07:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T07:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T08:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T08:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T09:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T09:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T10:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T10:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T11:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T11:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T12:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T12:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T13:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T13:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T14:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T14:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T15:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T15:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T16:00:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T16:30:00+02:00";null
"tpsrv010.cern.ch";"2019-08-09T17:00:00+02:00";102870246.73
"tpsrv010.cern.ch";"2019-08-09T17:30:00+02:00";207206194.43666667
"tpsrv010.cern.ch";"2019-08-09T18:00:00+02:00";177914498.16
"tpsrv010.cern.ch";"2019-08-09T18:30:00+02:00";238263019.4422222
"tpsrv010.cern.ch";"2019-08-09T19:00:00+02:00";168242691.43444446
"tpsrv010.cern.ch";"2019-08-09T19:30:00+02:00";239345546.6088889
"tpsrv010.cern.ch";"2019-08-09T20:00:00+02:00";227396255.11222222
"tpsrv010.cern.ch";"2019-08-09T20:30:00+02:00";266195331.30222222
"tpsrv010.cern.ch";"2019-08-09T21:00:00+02:00";196183888.24888888
"tpsrv010.cern.ch";"2019-08-09T21:30:00+02:00";226014878.91777778
"tpsrv010.cern.ch";"2019-08-09T22:00:00+02:00";94794048.75444445
